,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Mobserv,166.2,133.8,114.6,48.1,34.9,12.4,15.7,14.2,44.9,57.3,88.5,109.2,839.9
Montepuez,213.7,207.1,164.0,64.2,12.9,3.1,6.2,1.2,3.1,8.7,60.2,178.4,809.7
M da Paraia,171.5,146.5,213.6,149.7,63.1,19.1,17.1,11.2,7.8,18.1,49.1,144.9,982.5
Pemba,152.8,168.9,206.3,99.8,38.6,17.1,12.7,7.6,1.9,8.3,32.6,108.2,825.6
Lichinga,241.0,215.5,211.1,89.4,22.2,2.5,2.8,1.1,3.4,22.6,88.9,202.8,1093.1
Cuamba,233.0,215.7,151.1,66.7,7.3,4.2,2.9,1.1,5.9,22.5,70.1,196.5,942.5
Nampula,247.1,220.1,203.1,94.3,18.3,17.2,10.9,10.9,4.7,13.5,57.1,163.2,1053.2
Quelimane,262.2,235.0,216.7,142.4,71.1,56.1,81.4,28.0,16.2,35.1,80.6,189.2,1369.7
Tete,170.1,150.4,84.5,19.2,6.4,3.4,3.3,1.3,0.9,14.5,48.4,130.7,618.0
Chimoio,221.8,236.6,150.3,56.0,22.4,12.5,20.2,17.8,19.8,48.4,89.1,205.7,1068.1
Beira,253.2,263.6,236.8,118.5,65.1,35.2,33.7,33.2,24.5,47.6,114.5,209.0,1288.7
Vilankulo,158.2,196.9,93.8,40.1,36.2,18.5,20.2,22.2,8.8,30.9,57.1,116.1,781.6
Inhambane,141.4,157.2,132.4,80.8,61.8,51.0,38.0,27.1,32.6,32.7,83.6,126.5,80.5
Panda,117.0,135.1,74.3,44.0,42.7,14.9,18.7,19.8,20.7,29.3,60.2,89.8,666.2
Xai-Xai,153.9,131.0,117.9,83.2,91.7,58.1,54.0,34.4,39.9,51.5,100.2,135.9,1027.3
Umbeluzi,136.6,121.6,89.0,37.3,25.8,10.8,13.4,13.6,32.9,50.6,84.3,106.6,702.7
Changalane,144.1,133.3,98.7,37.0,26.8,10.4,11.5,15.4,33.8,58.0,83.8,121.0,773.2
