Station_Name,Lat,Long,OND,NDJ,DJF,JFM
Changalane,-26.30000,32.18333,262.8,346.4,394.2,376.1
Umbeluzi,-26.05000,32.38333,238.0,316.9,354.5,329.7
Mmavalane,-25.91667,32.56667,239.0,334.3,387.8,403.7
Benfica,-25.91666,32.56666,246.5,352.1,401.7,387.7
Mobsevatorio,-25.30000,32.60000,255.0,362.7,411.0,414.7
Manhica,-25.36667,32.80000,289.5,398.4,507.6,540.3
Macia,-25.03333,33.10000,218.9,320.4,412.1,412.1
Maniquinique,-24.73333,33.53333,224.5,313.3,333.8,336.0
Chokwe,-24.55000,33.00000,188.0,263.4,307.1,274.9
Massingir,-25.88333,32.15000,144.6,194.6,233.5,246.3
XaiXai,-25.05000,33.63333,286.0,388.1,427.2,395.0
Chonguene,-25.00000,33.78333,224.5,313.3,333.8,336.0
Manjacazi,-24.71667,33.88333,211.2,315.9,372.1,367.1
Panda,-24.05000,34.71667,175.3,254.8,332.3,326.4
Inhassune,-24.23333,34.85000,213.6,327.9,365.3,342.2
Inharrime,-24.48333,35.01667,210.2,278.9,330.4,378.2
Inhambane,-23.86667,35.38333,195.3,317.9,476.7,443.6
Vilanculos,-22.00000,35.31667,195.3,314.9,455.5,443.6
Beira Aero,-19.80000,34.90000,370.5,568.3,762.5,796.1
Chimoio,-19.11000,33.46000,336.9,503.8,655.0,608.7
Sussundenga,-19.33333,33.23333,400.9,602.7,731.2,662.4
Messambuzi,-19.50000,32.91667,377.2,603.5,704.3,614.4
Tete Aero,-16.16667,33.46667,189.2,337.8,448.8,394.4
Zumbo,-15.61667,30.43333,271.6,444.8,557.8,437.2
Fingue,-15.16667,31.88333,319.7,563.4,716.5,639.7
Catandica,-18.06667,33.16667,490.4,806.6,985.4,889.9
Quelimane,-17.88000,36.88000,299.6,533.6,683.7,691.7
Mocuba,-16.83333,36.98333,356.1,534.8,647.9,593.0
Nampula,-15.10000,39.28333,227.9,460.1,620.1,670.3
Angoche,-16.23333,39.90000,175.3,357.4,474.4,504.6
Lumbo,-15.03333,40.66667,159.5,320.5,459.6,507.1
Cuamba,-14.81667,36.53333,289.2,482.2,616.6,586.9
Lichinga,-13.30000,35.23333,311.2,525.8,656.5,660.6
Pemba,-12.98333,40.53333,144.3,284.6,413.4,528.0
Montepuez,-13.13333,39.03333,237.2,422.4,539.8,558.1
MdaPraia,-11.35000,40.36667,202.4,357.8,452.8,524.4
Mecufi,-13.28333,40.56667,164.6,279.5,372.9,451.0
TacuaneMadal,-16.35000,36.36670,576.6,845.1,997.3,1383.8
Erego Ile,-16.03000,37.18000,423.1,642.3,836.4,827.7
Belavista,-26.33333,32.68333,196.5,257.4,304.1,293.9
Catuane,-26.83333,32.28333,220.3,250.2,278.4,268.9
Namaacha,-25.98333,32.01667,292.8,395.4,435.6,415.4
Moaamba,-25.60000,32.23333,200.7,266.0,303.0,270.7
Sabie,-25.31667,32.23333,199.8,269.5,278.3,279.1
Praia do Bilene,-25.28333,33.25000,214.5,297.2,353.5,400.7
Chibuto,-24.68333,33.53333,218.9,312.6,405.1,377.0
Pafuri,-22.45000,31.33333,145.9,215.7,235.0,176.4
Quissico,-24.71667,34.75000,268.1,352.7,436.5,414.9
Nhancoongo,-24.30000,35.18333,274.3,359.8,442.2,426.1
Inhamussua,-23.90000,35.23333,247.1,317.6,366.9,343.4
Funhalouro,-23.08333,34.38333,230.1,311.9,368.3,307.5
Massinga,-23.31667,35.40000,289.5,427.1,518.0,493.6
Mabote,-22.05000,34.11667,227.9,316.7,391.5,312.7
Manbone,-20.98333,35.01667,271.1,427.3,540.4,450.9
Caia,-17.83333,35.33333,265.6,421.7,481.3,480.3
Vila de Manica,-18.93333,32.86667,378.6,554.1,651.6,570.9
