,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Mobserv,30.0,29.8,29.5,28.1,26.7,25.0,24.6,25.5,26.3,26.6,27.8,29.1
Montepuez,30.0,29.8,30.2,29.8,29.1,27.8,27.5,28.9,31.3,32.8,33.4,31.6
M da Paraia,31.8,32.0,31.1,30.9,30.2,29.2,28.6,28.8,29.4,30.1,30.9,31.5
Pemba,30.8,30.7,30.5,30.2,29.2,28.0,27.2,27.3,28.2,29.2,30.1,30.6
Lichinga,24.7,24.9,24.7,23.6,22.9,21.0,20.6,22.3,25.3,27.0,27.1,25.5
Cuamba,30.2,30.3,30.5,29.7,28.9,27.0,26.8,28.5,31.5,33.1,33.2,31.1
Nampula,30.7,30.3,29.9,28.8,27.5,25.8,25.6,27.4,30.3,32.1,32.7,31.6
Quelimane,32.4,31.9,31.4,30.2,28.7,27.0,26.3,27.6,29.7,31.1,32.4,32.5
Tete,33.8,33.4,33.7,33.1,31.4,29.1,28.5,30.8,34.0,35.8,36.8,34.8
Chimoio,28.6,27.8,27.6,26.2,25.0,23.2,22.7,24.6,27.4,28.1,29.2,28.6
Beira,31.5,31.1,30.7,29.4,27.9,26.2,25.4,26.3,27.8,28.9,30.3,31.0
Vilankulo,31.0,31.0,30.8,29.4,27.6,25.9,25.4,25.9,27.2,28.2,29.4,30.3
Inhambane,31.2,31.1,30.7,29.2,27.4,25.8,25.1,25.6,26.7,27.7,28.9,30.3
Panda,32.2,31.4,31.1,29.4,27.5,25.9,25.4,26.9,29.4,30.7,31.5,32.1
Xai-Xai,31.3,30.8,30.5,29.1,27.3,25.3,25.1,26.3,28.0,28.9,30.1,31.0
Umbeluzi,31.7,31.5,31.2,29.8,28.1,26.4,26.2,27.3,28.7,28.9,29.9,31.3
Changalane,32.1,31.7,31.2,29.8,28.2,26.6,26.2,27.6,29.0,29.2,30.2,31.6
